temp,dew,humidity,solarradiation,windspeed,cloudcover,visibility,hour,day_of_week,month,conditions_Clear,conditions_Overcast,conditions_Partially cloudy,conditions_Rain,"conditions_Rain, Overcast","conditions_Rain, Partially cloudy",Solar Production (kWh)
74.5,47.8,38.8,0,7.8,0.0,9.9,0,1,8,True,False,False,False,False,False,0.0
73.5,48.8,41.62,0,8.6,0.0,9.9,1,1,8,True,False,False,False,False,False,0.01
71.7,49.9,46.29,0,4.8,0.0,9.9,2,1,8,True,False,False,False,False,False,0.0
70.6,51.0,49.91,0,6.9,0.0,9.8,3,1,8,True,False,False,False,False,False,0.01
67.9,52.7,58.26,0,5.5,0.0,9.9,4,1,8,True,False,False,False,False,False,0.0
65.8,53.6,64.53,0,6.7,0.0,9.9,5,1,8,True,False,False,False,False,False,0.01
64.1,53.8,69.21,29,6.6,0.0,9.9,6,1,8,True,False,False,False,False,False,0.12
64.8,55.7,72.32,169,6.8,0.0,9.9,7,1,8,True,False,False,False,False,False,1.24
69.7,55.0,59.6,343,7.0,0.0,9.9,8,1,8,True,False,False,False,False,False,2.63
73.6,54.0,50.4,530,6.0,0.0,9.9,9,1,8,True,False,False,False,False,False,3.93
79.3,52.9,40.03,381,7.1,0.0,9.9,10,1,8,True,False,False,False,False,False,2.6
78.2,54.9,44.65,753,6.7,0.0,9.9,11,1,8,True,False,False,False,False,False,4.62
82.2,52.9,36.48,684,5.0,0.0,9.9,12,1,8,True,False,False,False,False,False,4.19
85.9,53.5,32.96,443,6.4,0.0,9.9,13,1,8,True,False,False,False,False,False,2.64
85.0,52.9,33.21,612,6.5,0.0,9.9,14,1,8,True,False,False,False,False,False,3.9
89.4,53.6,29.69,635,5.4,0.0,9.9,15,1,8,True,False,False,False,False,False,3.67
90.8,54.7,29.58,656,11.2,0.0,9.9,16,1,8,True,False,False,False,False,False,2.88
91.5,51.3,25.52,433,9.3,0.0,9.9,17,1,8,True,False,False,False,False,False,1.4
89.4,53.1,29.12,272,9.0,0.0,9.9,18,1,8,True,False,False,False,False,False,0.51
87.5,52.9,30.66,86,11.7,0.0,9.9,19,1,8,True,False,False,False,False,False,0.1
79.9,53.8,40.56,4,9.4,0.0,9.9,20,1,8,True,False,False,False,False,False,0.01
74.9,53.8,47.81,0,11.7,0.0,9.9,21,1,8,True,False,False,False,False,False,0.01
71.7,55.1,55.74,0,13.6,0.0,9.9,22,1,8,True,False,False,False,False,False,0.0
66.8,55.1,65.95,0,14.4,1.8,9.9,23,1,8,True,False,False,False,False,False,0.01
64.2,55.1,72.23,0,7.5,3.5,9.9,0,2,8,True,False,False,False,False,False,0.0
62.3,54.0,74.17,0,8.4,3.5,9.9,1,2,8,True,False,False,False,False,False,0.01
61.2,53.9,76.84,0,8.4,3.5,9.9,2,2,8,True,False,False,False,False,False,0.0
61.0,54.9,80.18,0,10.3,3.5,9.9,3,2,8,True,False,False,False,False,False,0.01
60.3,53.8,79.32,0,8.5,3.5,9.9,4,2,8,True,False,False,False,False,False,0.0
59.1,53.1,80.42,0,5.3,3.5,9.9,5,2,8,True,False,False,False,False,False,0.01
56.6,51.4,82.71,29,1.2,3.5,9.9,6,2,8,True,False,False,False,False,False,0.12
60.2,53.8,79.57,158,4.1,3.5,9.8,7,2,8,True,False,False,False,False,False,1.16
64.7,54.9,70.53,329,5.3,3.5,9.9,8,2,8,True,False,False,False,False,False,2.55
67.5,55.7,65.72,495,4.1,3.1,9.9,9,2,8,True,False,False,False,False,False,3.75
70.7,52.2,52.0,636,1.0,0.0,9.7,10,2,8,True,False,False,False,False,False,4.74
75.4,53.0,45.53,741,6.9,0.0,9.9,11,2,8,True,False,False,False,False,False,5.36
78.7,52.1,39.65,806,6.9,0.0,9.9,12,2,8,True,False,False,False,False,False,5.49
81.8,52.1,35.77,821,5.8,0.0,9.9,13,2,8,True,False,False,False,False,False,5.25
84.4,52.8,33.73,787,9.2,0.0,9.9,14,2,8,True,False,False,False,False,False,4.71
87.5,51.2,28.82,704,7.3,0.0,9.9,15,2,8,True,False,False,False,False,False,3.84
88.4,50.1,26.91,646,6.9,0.0,9.9,16,2,8,True,False,False,False,False,False,2.72
87.5,56.5,35.03,421,12.1,1.0,9.9,17,2,8,True,False,False,False,False,False,1.34
84.6,53.0,33.82,242,15.7,0.0,9.9,18,2,8,True,False,False,False,False,False,0.3
79.8,53.9,40.83,81,15.1,0.0,9.9,19,2,8,True,False,False,False,False,False,0.07
